숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
12,순천 더소풍펜션,전라남도 순천시 별량면 동화사길 113,완전추천,비추천,2,4.8,5,5,4.4,4.3,4.71,4.71,4.64,4.63
13,순천 라온하우스애견펜션,전라남도 순천시 왕지로 238-3,매우완전추천,매우완전추천,5,4.6,4.6,4.6,4.7,4.6,4.62,4.62,4.63,4.62
14,순천 힐링펜션,전라남도 순천시 순천만길 574,완전추천,보통추천,2,4.7,4.9,4.6,4.8,4.8,4.79,4.76,4.78,4.78
15,순천 순천만여행펜션,전라남도 순천시 순천만길 580,매우완전추천,보통추천,2,4.3,4.5,3.9,4.1,4.7,4.32,4.26,4.28,4.34
16,순천 천지글램핑펜션,전라남도 순천시 상사면 선동길 112,완전추천,비추천,2,3.9,4.3,3.8,3.6,3.6,3.88,3.82,3.8,3.8
17,순천 순천만그리고나펜션,전라남도 순천시 동너리길 14,매우완전추천,매우완전추천,5,4.8,4.8,4.6,4.6,4.8,4.71,4.69,4.69,4.71
18,순천 순천만생태펜션,전라남도 순천시 순천만길 476,매우완전추천,매우완전추천,5,4.6,4.5,4.7,4.6,4.7,4.61,4.63,4.62,4.63
19,순천 순천만포시즌펜션,전라남도 순천시 순천만길 584,매우완전추천,완전추천,4,4.9,5,5,4.2,5,4.82,4.82,4.73,4.82
20,순천 뜰애펜션,전라남도 순천시 순천만길 574-1,매우완전추천,완전추천,4,4.9,4.8,4.9,4.9,4.9,4.87,4.88,4.88,4.88
21,순천 순천만로맨스펜션,전라남도 순천시 순천만길 342,완전추천,보통추천,2,4.7,5,4.9,4.3,4.9,4.8,4.79,4.72,4.79
22,구례 지리산녹차별펜션,전라남도 구례군 토지면 섬진강대로 4310-36,매우완전추천,완전추천,4,4.9,5,4.8,4.6,4.8,4.82,4.8,4.78,4.8
23,구례 섬진강나루펜션,전라남도 구례군 토지면 섬진강대로 4142-36,매우완전추천,보통추천,2,4.4,4.5,4.4,4.4,4.5,4.46,4.44,4.44,4.46
24,순천 순천만갈대숲펜션,전라남도 순천시 순천만길 586,매우완전추천,보통추천,2,5,4.6,4.8,4.6,4.8,4.69,4.71,4.69,4.71
25,구례 지리산나무향기펜션,전라남도 구례군 토지면 섬진강대로 4310-41(나무향기)지리산나무향기펜,매우완전추천,완전추천,4,4.7,4.8,4.7,4.8,4.8,4.78,4.77,4.78,4.78
26,구례 지리산쉬리펜션,전라남도 구례군 토지면 섬진강대로 4310-46,매우완전추천,보통추천,2,4.9,5,4.9,4.9,4.8,4.91,4.9,4.9,4.89
27,구례 지리산로시난테하우스펜션,전라남도 구례군 토지면 피아골로 81,매우완전추천,완전추천,4,4.9,5,5,4.9,5,4.98,4.98,4.97,4.98
28,순천 달벗한옥펜션,전라남도 순천시 월등면 계월길 130-16,매우완전추천,보통추천,2,5,4.5,4.3,4,3.5,4.12,4.1,4.07,4.01
29,순천 베네치아호텔,전라남도 순천시 팔마2길 13,매우완전추천,완전추천,4,3.7,5,5,3.3,5,4.62,4.62,4.43,4.62
30,순천 펜션호박펜션,전라남도 순천시 순천만길 582,매우완전추천,완전추천,4,4.9,5,4.8,4.7,4.9,4.87,4.84,4.83,4.86
